map_seed,start_point,target_point,population_size,generations,mutation_rate,max_steps,num_iterations,success_rate,avg_execution_time,avg_path_length,avg_generations_needed,best_path_length,best_path,successful_runs
1,"(12, 1)","(6, 14)",1000,2000,0.9,45,5,100,3.7,26.8,234,22,"[(12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (6, 14)]",5
2,"(15, 1)","(6, 14)",1000,2000,0.9,48,5,80,44.79,43.5,1479,39,"[(15, 1), (14, 1), (15, 1), (14, 1), (14, 2), (13, 2), (12, 2), (13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (9, 1), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",4
3,"(11, 1)","(5, 14)",1000,2000,0.9,45,5,100,1.14,28.0,60,20,"[(11, 1), (10, 1), (9, 1), (8, 1), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",5
4,"(11, 1)","(4, 14)",1000,2000,0.9,46,5,100,4.31,29.0,271,29,"[(11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (12, 13), (11, 13), (10, 13), (9, 13), (8, 13), (7, 13), (6, 13), (5, 13), (4, 13), (4, 14)]",5
5,"(5, 1)","(4, 14)",1000,2000,0.9,40,5,100,0.11,23.0,0,19,"[(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (4, 13), (4, 14)]",5
6,"(16, 1)","(9, 14)",1000,2000,0.9,46,5,100,0.29,31.4,11,21,"[(16, 1), (15, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (12, 4), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14)]",5
7,"(5, 1)","(5, 14)",1000,2000,0.9,39,5,100,15.72,39.2,798,34,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (13, 13), (12, 13), (11, 13), (10, 13), (9, 13), (8, 13), (8, 14), (7, 14), (6, 14), (5, 14)]",5
8,"(6, 1)","(10, 14)",1000,2000,0.9,43,5,100,37.94,44.8,1383,42,"[(6, 1), (7, 1), (8, 1), (9, 1), (8, 1), (9, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (8, 14), (9, 14), (10, 14)]",5
9,"(15, 1)","(5, 14)",1000,2000,0.9,49,5,100,1.33,26.8,81,24,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 14)]",5
10,"(8, 1)","(7, 14)",1000,2000,0.9,40,5,100,15.66,31.0,756,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (10, 12), (10, 13), (10, 14), (9, 14), (8, 14), (7, 14)]",5
